field_0,dust,type,project,description,installs,links
220,730,RFP,bdsync,bdsync is a fast block device synchronizing tool,0,https://bugs.debian.org/cgi-bin/bugreport.cgi?bug=724344
221,568,RFP,be-shell,lightweight kde shell,0,https://bugs.debian.org/cgi-bin/bugreport.cgi?bug=680958
222,1825,RFP,beagrep,beagrep = beagle + grep. It use beagle to find the set o[..],0,https://bugs.debian.org/cgi-bin/bugreport.cgi?bug=657453
223,1808,RFP,beagrep,beagrep = beagle + grep. It use beagle to find the set o[..],0,https://bugs.debian.org/cgi-bin/bugreport.cgi?bug=657452
224,315,RFP,beaker-notebook,Data Scientist Notebook,0,https://bugs.debian.org/cgi-bin/bugreport.cgi?bug=795980
225,274,RFP,beanstool,Dependency free beanstalkd admin tool,0,https://bugs.debian.org/cgi-bin/bugreport.cgi?bug=834020
226,568,RFP,beast,Music Composer and Modular Synthesizer,19,https://bugs.debian.org/cgi-bin/bugreport.cgi?bug=802627
227,1820,RFP,beatbox,A music player written in vala,0,https://bugs.debian.org/cgi-bin/bugreport.cgi?bug=617617
228,556,RFP,beaver,Lightweight log shippper to logstash,0,https://bugs.debian.org/cgi-bin/bugreport.cgi?bug=728999
229,1479,RFP,begin,an output modifier,0,https://bugs.debian.org/cgi-bin/bugreport.cgi?bug=699113
230,687,RFP,beluga,Functional programming language designed for formal reas[..],0,https://bugs.debian.org/cgi-bin/bugreport.cgi?bug=795246
231,1591,RFP,berec,"the berec button, reporting breach of the EU cookie law [..]",0,https://bugs.debian.org/cgi-bin/bugreport.cgi?bug=709328
232,499,RFP,beret,A 2D puzzle platformer game,0,https://bugs.debian.org/cgi-bin/bugreport.cgi?bug=652580
233,180,RFP,bfg-repo-cleaner,"simpler, faster alternative to git-filter-branch for cle[..]",0,https://bugs.debian.org/cgi-bin/bugreport.cgi?bug=781546
234,174,O,bfgminer,"multi-threaded multi-pool ASIC, FPGA and GPU bitcoin miner",172,https://bugs.debian.org/cgi-bin/bugreport.cgi?bug=891059
235,759,O,bglibs,BG Libraries Collection,189,https://bugs.debian.org/cgi-bin/bugreport.cgi?bug=544056
236,1481,RFP,bgs,back ground setter,0,https://bugs.debian.org/cgi-bin/bugreport.cgi?bug=745451
237,2554,O,bhl,Wiki-alike system for generting HTML and LateX in Emacs,30,https://bugs.debian.org/cgi-bin/bugreport.cgi?bug=638319
238,586,RFP,bhyve,hypervisor/virtual machine manager for FreeBSD,0,https://bugs.debian.org/cgi-bin/bugreport.cgi?bug=800844
239,115,RFA,bibutils,interconvert various bibliographic data formats,403,https://bugs.debian.org/cgi-bin/bugreport.cgi?bug=896574
240,827,RFP,bids-validator,validator of compliance to BIDS (Brain Imaging Data Stru[..],0,https://bugs.debian.org/cgi-bin/bugreport.cgi?bug=823932
241,1184,RFP,bifrost,Intelligent self-learning whitelist-based web applicatio[..],0,https://bugs.debian.org/cgi-bin/bugreport.cgi?bug=765493
242,1521,RFP,bigbluebutton,Open Source Web Conferencing,2,https://bugs.debian.org/cgi-bin/bugreport.cgi?bug=691978
243,1521,RFP,bigbluebutton,Web conferencing/classroom software with video/audio/pre[..],2,https://bugs.debian.org/cgi-bin/bugreport.cgi?bug=751033
244,1479,RFP,bigdft,Wavelet-based electronic-structure calculations,0,https://bugs.debian.org/cgi-bin/bugreport.cgi?bug=602096
245,491,RFP,bigsdb,Bacterial Isolate Genome Sequence Database,0,https://bugs.debian.org/cgi-bin/bugreport.cgi?bug=500106
246,212,RFP,billiards,Billiards is a free cue sports simulator,0,https://bugs.debian.org/cgi-bin/bugreport.cgi?bug=539078
247,1402,RFP,binutils-arm,"The GNU assembler, linker and binary utilities for ARM t[..]",2,https://bugs.debian.org/cgi-bin/bugreport.cgi?bug=561045
248,534,O,binutils-m68hc1x,binary utilities that support Motorola's 68HC11/12 targets,120,https://bugs.debian.org/cgi-bin/bugreport.cgi?bug=739225
249,513,RFP,biosdevname,"takes a kernel device name as an argument, and returns t[..]",1,https://bugs.debian.org/cgi-bin/bugreport.cgi?bug=617820
250,732,RFP,birdie,A native Twitter client for GNU/Linux,5,https://bugs.debian.org/cgi-bin/bugreport.cgi?bug=772739
251,190,RFP,bisq,The P2P exchange network,57,https://bugs.debian.org/cgi-bin/bugreport.cgi?bug=772886
252,1267,RFP,bitcoin-explorer,Bitcoin Command Line Tool,0,https://bugs.debian.org/cgi-bin/bugreport.cgi?bug=779071
253,1296,RFP,bitcoinj,A Java implementation of a Bitcoin client-only node,0,https://bugs.debian.org/cgi-bin/bugreport.cgi?bug=629008
254,1399,RFP,bitcointrader,Bitcoin trading application,0,https://bugs.debian.org/cgi-bin/bugreport.cgi?bug=759014
255,733,RFP,bitfighter,A fast-paced team-based multi-player space combat game,3,https://bugs.debian.org/cgi-bin/bugreport.cgi?bug=705303
256,614,O,bitstormlite,BitTorrent Client based on C++/Gtk+2.0,67,https://bugs.debian.org/cgi-bin/bugreport.cgi?bug=847409
257,184,O,bittorrent,Original BitTorrent client,2102,https://bugs.debian.org/cgi-bin/bugreport.cgi?bug=810612
258,1259,RFP,bittorrent-bencode,It is the existing bencoding and bdecoding implemention [..],0,https://bugs.debian.org/cgi-bin/bugreport.cgi?bug=779805
259,640,RFP,black-hole-solver,"Solver (C API + CLI program) for ""Black Hole"" Solitaire [..]",0,https://bugs.debian.org/cgi-bin/bugreport.cgi?bug=765336
260,3079,O,blackbox,Window manager for X,419,https://bugs.debian.org/cgi-bin/bugreport.cgi?bug=573407
261,962,RFP,blat,BLAST-Like Alignment Tool,2,https://bugs.debian.org/cgi-bin/bugreport.cgi?bug=740601
262,962,RFP,bleufear-gtk-theme,A dark theme with a wild streak of electric blue,0,https://bugs.debian.org/cgi-bin/bugreport.cgi?bug=752011
263,787,O,blockfinder,enumerates network information for countries,9,https://bugs.debian.org/cgi-bin/bugreport.cgi?bug=827652
264,858,RFP,blockstack-server,A server that handles the core functionality of building[..],0,https://bugs.debian.org/cgi-bin/bugreport.cgi?bug=820553
265,1353,RFP,blogofile-blog,Blogofile plugin implementing a basic blog engine,0,https://bugs.debian.org/cgi-bin/bugreport.cgi?bug=723609
266,525,RFP,bloomd,High-performance bloom filter service,0,https://bugs.debian.org/cgi-bin/bugreport.cgi?bug=806972
267,669,O,blop,Bandlimited wavetable-based oscillator LADSPA plugins,322,https://bugs.debian.org/cgi-bin/bugreport.cgi?bug=840289
268,710,RFP,bloscpack,CLI interface and serialization format for Blosc,0,https://bugs.debian.org/cgi-bin/bugreport.cgi?bug=834778
269,68,RFP,bluegriffon,Next Generation WYSIWYG HTML editor based on Gecko,148,https://bugs.debian.org/cgi-bin/bugreport.cgi?bug=637454
270,1825,RFP,bluej,integrated Java environment,153,https://bugs.debian.org/cgi-bin/bugreport.cgi?bug=587553
271,508,RFP,bluej,integrated Java environment,153,https://bugs.debian.org/cgi-bin/bugreport.cgi?bug=585696
272,1422,O,bluemon,Activate or deactivate programs based on Bluetooth link [..],301,https://bugs.debian.org/cgi-bin/bugreport.cgi?bug=762537
273,1178,RFP,blueprint,configuration management tool that reverse-engineers servers,5,https://bugs.debian.org/cgi-bin/bugreport.cgi?bug=786739
274,1168,RFP,bluetooth-transfer,simple bluetooth file transfer (opp) application,0,https://bugs.debian.org/cgi-bin/bugreport.cgi?bug=787691
275,1824,RFP,bmc,Braille Music Compiler,0,https://bugs.debian.org/cgi-bin/bugreport.cgi?bug=681499
276,2473,O,boa-constructor,RAD tool for Python and wxWindows application,104,https://bugs.debian.org/cgi-bin/bugreport.cgi?bug=647913
277,730,O,boats,race scenario drawing tool,17,https://bugs.debian.org/cgi-bin/bugreport.cgi?bug=834409
278,604,RFP,bokeh,interactive visualization for web browsers,0,https://bugs.debian.org/cgi-bin/bugreport.cgi?bug=756017
279,1820,RFP,bombono-dvd,DVD authoring program with nice and clean GUI,172,https://bugs.debian.org/cgi-bin/bugreport.cgi?bug=690032
280,1061,RFP,bomi,GUI multimedia player based on mpv,0,https://bugs.debian.org/cgi-bin/bugreport.cgi?bug=799381
281,39,RFA,boogie,verifiable programming language (compiler),8,https://bugs.debian.org/cgi-bin/bugreport.cgi?bug=903142
282,1824,RFP,boogiewoogie,Reads and stores graphics from iMPROV's Boogie Board,0,https://bugs.debian.org/cgi-bin/bugreport.cgi?bug=681728
283,496,RFP,bookie,Python based delicious.com replacement,0,https://bugs.debian.org/cgi-bin/bugreport.cgi?bug=744306
284,962,RFP,booktype,Web application for collaborative book production,0,https://bugs.debian.org/cgi-bin/bugreport.cgi?bug=750674
285,198,RFP,bookworm,"simple, focused eBook reader",2,https://bugs.debian.org/cgi-bin/bugreport.cgi?bug=883867
286,1022,RFP,bool2cnf,tool for converting a boolean formula into CNF,0,https://bugs.debian.org/cgi-bin/bugreport.cgi?bug=616651
287,244,RFP,boot-repair,Simple tool to repair boot problems,62,https://bugs.debian.org/cgi-bin/bugreport.cgi?bug=636977
288,677,RFP,boot-repair-common,Librairies for OS-uninstaller and Boot-repair,0,https://bugs.debian.org/cgi-bin/bugreport.cgi?bug=637074
289,177,RFP,bootstrap4,"HTML, CSS, and JS framework",0,https://bugs.debian.org/cgi-bin/bugreport.cgi?bug=842828
290,175,RFP,bornagain,Simulating and fitting X-ray and neutron small-angle sca[..],0,https://bugs.debian.org/cgi-bin/bugreport.cgi?bug=844618
291,155,RFP,bourbon,Lightweight Sass Tool Set,0,https://bugs.debian.org/cgi-bin/bugreport.cgi?bug=892811
292,407,RFP,bower,Package manager for the Web,0,https://bugs.debian.org/cgi-bin/bugreport.cgi?bug=862333
293,823,O,boxbackup,remote backup system with client and server,40,https://bugs.debian.org/cgi-bin/bugreport.cgi?bug=817078
294,962,RFP,bquery,simple cli tool to quickly parse html streams with a jQu[..],1,https://bugs.debian.org/cgi-bin/bugreport.cgi?bug=737546
295,458,RFP,brackets,open source code editor for web,533,https://bugs.debian.org/cgi-bin/bugreport.cgi?bug=721575
296,476,RFP,brahms,Modular execution framework for SystemML,1,https://bugs.debian.org/cgi-bin/bugreport.cgi?bug=742518
297,962,RFP,braingl,exploring and visualizing anatomical and functional conn[..],0,https://bugs.debian.org/cgi-bin/bugreport.cgi?bug=711956
298,343,RFP,brave-browser,web browser with privacy and micropayment features,0,https://bugs.debian.org/cgi-bin/bugreport.cgi?bug=864795
299,585,RFP,brickutils,Utility for organizing your collection of LEGO(R) bricks,0,https://bugs.debian.org/cgi-bin/bugreport.cgi?bug=714956
300,311,RFP,brl-cad,"A Combinatorial/Constructive Solid Geometry, solid model[..]",0,https://bugs.debian.org/cgi-bin/bugreport.cgi?bug=289632
301,311,RFP,brl-cad [1] [2],"A Combinatorial/Constructive Solid Geometry, solid model[..]",0,https://bugs.debian.org/cgi-bin/bugreport.cgi?bug=289684 https://bugs.debian.org/cgi-bin/bugreport.cgi?bug=705640
302,311,RFP,brl-cad,"A Combinatorial/Constructive Solid Geometry, solid model[..]",0,https://bugs.debian.org/cgi-bin/bugreport.cgi?bug=816543
303,431,RFP,broadcom-facetimehd,dkms source for the Broadcom 1570 PCIe camera,0,https://bugs.debian.org/cgi-bin/bugreport.cgi?bug=816958
304,190,RFH,broadcom-sta,Broadcom STA Wireless driver (non-free),2559,https://bugs.debian.org/cgi-bin/bugreport.cgi?bug=886599
305,509,RFP,brogue,Roguelike game by Brian Walker,0,https://bugs.debian.org/cgi-bin/bugreport.cgi?bug=698843
306,148,RFP,brother-inkjet-d[..],printer driver for Brother Inkjet printers,0,https://bugs.debian.org/cgi-bin/bugreport.cgi?bug=847949
307,1535,RFP,browsermob-proxy,help to watch and manipulate network traffic from AJAX a[..],0,https://bugs.debian.org/cgi-bin/bugreport.cgi?bug=749967
308,730,RFP,bruce,Producer daemon for Apache Kafka,0,https://bugs.debian.org/cgi-bin/bugreport.cgi?bug=782408
309,286,RFP,brumbrumrally,2D racing game with a new track each time you play,0,https://bugs.debian.org/cgi-bin/bugreport.cgi?bug=832904
310,502,RFP,bsod,curses Blue Screen of Death Simulator.,1,https://bugs.debian.org/cgi-bin/bugreport.cgi?bug=676285
311,686,RFP,bt747,"GPS data logger software, allows download, convert, and [..]",0,https://bugs.debian.org/cgi-bin/bugreport.cgi?bug=533589
312,1752,RFP,btsync,Directory synchronizer from Bittorrent Inc.,81,https://bugs.debian.org/cgi-bin/bugreport.cgi?bug=706639
313,744,O,btyacc,Backtracking parser generator based on byacc,41,https://bugs.debian.org/cgi-bin/bugreport.cgi?bug=833160
314,493,RFP,buck,Facebook's build system for large Java projects,3,https://bugs.debian.org/cgi-bin/bugreport.cgi?bug=718394
315,2631,O,buddy,Binary Decision Diagram library,82,https://bugs.debian.org/cgi-bin/bugreport.cgi?bug=628923
316,928,O,buffy,Heavy duty browser for mail folders,27,https://bugs.debian.org/cgi-bin/bugreport.cgi?bug=813200
317,80,O,bugz,command-line interface to Bugzilla,34,https://bugs.debian.org/cgi-bin/bugreport.cgi?bug=900234
318,1016,RFP,bugzilla4,web-based bug tracking system,0,https://bugs.debian.org/cgi-bin/bugreport.cgi?bug=669643
319,160,O,bum,graphical runlevel editor,460,https://bugs.debian.org/cgi-bin/bugreport.cgi?bug=892313
320,190,O,bunch,Dot-accessible Python dictionary (a la JavaScript objects),12,https://bugs.debian.org/cgi-bin/bugreport.cgi?bug=889782
321,286,RFP,burpsuite,platform for security testing of web applications,41,https://bugs.debian.org/cgi-bin/bugreport.cgi?bug=832943
322,254,RFP,butter-desktop,Torrent movie streamer,0,https://bugs.debian.org/cgi-bin/bugreport.cgi?bug=741972
323,405,O,bwbar,generates text and graphical readout of current bandwidt[..],53,https://bugs.debian.org/cgi-bin/bugreport.cgi?bug=867318
324,605,O,bwbasic,Bywater BASIC Interpreter,169,https://bugs.debian.org/cgi-bin/bugreport.cgi?bug=848568
325,2074,RFA,bzr-loom,Focused patch plugin support for Bazaar,25,https://bugs.debian.org/cgi-bin/bugreport.cgi?bug=667574
326,1909,RFA,bzr-pipeline,Bazaar plugin for managing a pipeline of changes,11,https://bugs.debian.org/cgi-bin/bugreport.cgi?bug=668115
327,431,O,bzr-tweet,Bazaar commit and push tweet plugin,4,https://bugs.debian.org/cgi-bin/bugreport.cgi?bug=864581
328,1909,RFA,bzr-xmloutput,XML Communication plugin for Bazaar,32,https://bugs.debian.org/cgi-bin/bugreport.cgi?bug=667637
329,731,RFP,c,"Compile and execute C ""scripts"" in one go!",0,https://bugs.debian.org/cgi-bin/bugreport.cgi?bug=779904
330,1703,RFP,c-graph,Visualizing Convolution,0,https://bugs.debian.org/cgi-bin/bugreport.cgi?bug=694088
331,962,RFP,c-script,c++ script language,0,https://bugs.debian.org/cgi-bin/bugreport.cgi?bug=765396
332,962,RFP,c-vtapi,VirusTotal C API library,0,https://bugs.debian.org/cgi-bin/bugreport.cgi?bug=768594
333,686,RFP,c501checkers,A checker game,0,https://bugs.debian.org/cgi-bin/bugreport.cgi?bug=595090
334,1353,RFP,cabocha,A Japenese dependency/case structure analysis system,4,https://bugs.debian.org/cgi-bin/bugreport.cgi?bug=729126
335,579,RFP,cachet,status page system,0,https://bugs.debian.org/cgi-bin/bugreport.cgi?bug=851177
336,697,O,cadabra,field-theory motivated computer,263,https://bugs.debian.org/cgi-bin/bugreport.cgi?bug=834846
337,218,O,cadvisor,analyze resource usage and performance characteristics o[..],13,https://bugs.debian.org/cgi-bin/bugreport.cgi?bug=886740
338,3,RFP,cagou,Desktop frontend for Salut à Toi XMPP client,0,https://bugs.debian.org/cgi-bin/bugreport.cgi?bug=897232
339,1265,RFP,caja-terminal,Terminal embedded in Caja,0,https://bugs.debian.org/cgi-bin/bugreport.cgi?bug=779323
340,1358,RFP,caja-thg,TortoiseHg extension for Caja,0,https://bugs.debian.org/cgi-bin/bugreport.cgi?bug=771079
341,2418,O,cal3d,Skeletal based 3d character animation library - API docu[..],118,https://bugs.debian.org/cgi-bin/bugreport.cgi?bug=653951
342,1479,RFP,calcelestial,"calcelestial calculates positions, rise & set times of c[..]",1,https://bugs.debian.org/cgi-bin/bugreport.cgi?bug=706861
343,1158,RFP,caldavzap,CalDAV web client with a powerful event/todo editor,0,https://bugs.debian.org/cgi-bin/bugreport.cgi?bug=698769
344,139,O,calife,provides super user privileges to specific users,27,https://bugs.debian.org/cgi-bin/bugreport.cgi?bug=894182
345,246,RFP,california,calendar application for GNOME 3,1,https://bugs.debian.org/cgi-bin/bugreport.cgi?bug=842298
346,623,RFP,caliper,"framework for writing, running and viewing Java microben[..]",0,https://bugs.debian.org/cgi-bin/bugreport.cgi?bug=770244
347,1847,RFA,camomile,Unicode library for OCaml,559,https://bugs.debian.org/cgi-bin/bugreport.cgi?bug=717786
348,2394,O,canna,Japanese input system (server and dictionary),52,https://bugs.debian.org/cgi-bin/bugreport.cgi?bug=519388
349,697,RFA,canna-shion,supporting dictionaries for Canna,15,https://bugs.debian.org/cgi-bin/bugreport.cgi?bug=838059
350,1871,O,capi4hylafax,Faxing over CAPI 2.0 device,38,https://bugs.debian.org/cgi-bin/bugreport.cgi?bug=714691
351,404,RFP,capitan,Remake of the classic 80s platform game,0,https://bugs.debian.org/cgi-bin/bugreport.cgi?bug=819405
352,729,RFP,capnet-assist,captive login detector,65,https://bugs.debian.org/cgi-bin/bugreport.cgi?bug=784177
353,604,RFP,cappsule,hypervisor which virtualizes any software on-the-fly int[..],0,https://bugs.debian.org/cgi-bin/bugreport.cgi?bug=848630
354,729,RFP,caravel,data exploration platform,0,https://bugs.debian.org/cgi-bin/bugreport.cgi?bug=825796
355,733,RFP,carbonate [1] [2],some primitive tools to help you manage your graphite cl[..],0,https://bugs.debian.org/cgi-bin/bugreport.cgi?bug=734377 https://bugs.debian.org/cgi-bin/bugreport.cgi?bug=760317
356,688,RFP,carddavmate,CardDAV web client,0,https://bugs.debian.org/cgi-bin/bugreport.cgi?bug=698767
357,482,RFH,cargo,Rust package manager,627,https://bugs.debian.org/cgi-bin/bugreport.cgi?bug=860116
358,974,RFP,carla,"audio plugin host supporting LADSPA, DSSI,LV2, VST2/3 an[..]",50,https://bugs.debian.org/cgi-bin/bugreport.cgi?bug=804235
359,974,RFP,carla,"audio plugin host supporting LADSPA, DSSI,LV2, VST2/3 an[..]",50,https://bugs.debian.org/cgi-bin/bugreport.cgi?bug=798490
360,191,RFP,casacore-data-eop,Earth Orientation Parameters database for casacore,0,https://bugs.debian.org/cgi-bin/bugreport.cgi?bug=842933
361,191,RFP,casacore-data-jplde,Jet Propulsion Laboratory Development Ephemeris for casacore,0,https://bugs.debian.org/cgi-bin/bugreport.cgi?bug=842931
362,191,RFP,casacore-data-pr[..],Earth orientation parameter prediction tables for casacore,1,https://bugs.debian.org/cgi-bin/bugreport.cgi?bug=842934
363,962,RFP,casadi,symbolic framework for algorithmic differentiation and n[..],1,https://bugs.debian.org/cgi-bin/bugreport.cgi?bug=745758
364,310,RFP,casarest,"old AIPS++ code not included in casacore, mainly lwimager",0,https://bugs.debian.org/cgi-bin/bugreport.cgi?bug=830123
